_id,bathrooms,city,country,description,image,price,rooms,service,size,state,street,tittle
636eb31ee96dfff2f7ab99b0,1,Potrero de Garay,Argentina,"hermosa casa, comoda",https://casasdecampo.com.ar/wp-content/uploads/WPL/22/img_casa_frente.jpg,5000,2,Alquiler,300,Cordoba,Tierra fea,CASA BONITA
636eb31ee96dfff2f7ab99b1,1,Cordoba,Argentina,"Dpto comodo, ideal para estudiantes o personas jovenes",https://imgar.zonapropcdn.com/avisos/1/00/49/04/77/69/720x532/1793449465.jpg,250000,3,Venta,90,Cordoba,Belgrano 295,Departamento Grande en Nueva
636eb31ee96dfff2f7ab99b2,2,Cordoba,Argentina,Casa con espacios amplios y patio para interno,https://imgcla.lavoz.com.ar/files/imagecache/ficha_aviso_355_237/avisos/aviso_casa/aviso-casa--13403072.jpg,500000,5,Venta,215,Cordoba,Sarmiento 1850,Casa en Alta Cordoba
636eb31ee96dfff2f7ab99b3,4,Unquillo,Argentina,"casa de campo, ideal para disfrutar los fines de semana y en el verano",https://http2.mlstatic.com/D_NQ_NP_609084-MLA43057425987_082020-O.jpg,850000,10,Venta,500,Cordoba,S/N,Finca - Las 3 Marias
636eb31ee96dfff2f7ab99b4,2,Villa General Belgrano,Argentina,"Ubicado en un complejo, con cochera y parrilla privada",https://images.sparairnos.com/property/99/images/180/full/591265ef-bed6-4357-ae8f-41fcf60f1ed9,1500,3,Alquiler,150,Cordoba,San Martín 526 ,Cabaña en Gral Belgrano
636eb31ee96dfff2f7ab99b5,1,Cordoba,Argentina,"Local con ubicacion estrategica, cerca del Patio Olmos",https://imganuncios.mitula.net/medium/vendo_locales_comerciales_juntos_o_separados_oportunidad_urgente_1260014666958309886.jpg,500,1,Alquiler,50,Cordoba,Bv San Juan 258 ,Local Comercial en el Centro
636eb31ee96dfff2f7ab99b6,1,Miami,Estados Unidos,"Dpto, ubicado en una de las mejores zonas de Miami",https://media-cdn.tripadvisor.com/media/vr-splice-j/06/7f/85/68.jpg,120000,2,Venta,90,Florida,Sunny Island 18590 ,Departamento cerca de la playa 
636eb31ee96dfff2f7ab99b7,1,Nueva York,Estados Unidos,"Dpto, ubicado a metro del Central Park y a pocas cuadras del Time Square",https://e00-telva.uecdn.es/assets/multimedia/imagenes/2017/10/24/15088391969610.jpg,250000,2,Venta,65,Nueva York,7th Avenue 2500 ,Departamento en NYC 
636eb31ee96dfff2f7ab99b8,8,Atlanta,Estados Unidos,Propiedad de lujo y exclusiva en una de la ciudades mas bellas de los Estados Unidos.,https://static.abc.es/media/MM/2022/05/16/mariah-carey-1-kG1E--662x433@abc.jpg,1000000,16,Venta,600,Georgia,S/N,Mansion en Atlanta
636eb31ee96dfff2f7ab99b9,1,Paris,Francia,Dpto ubicado a pocas cuadras de la Torre Eiffel,http://s03.s3c.es/imag/_v0/640x426/2/6/2/apartamento-paris-4.jpg,189000,3,Venta,75,Paris,Charles de Gaulle 1580,Departamento en Paris
636eb31ee96dfff2f7ab99ba,2,Madrid,España,Dpto con una excelente ubicacion cerca de las atracciones mas visitadas,https://www.mad4rent.es/uploads/accommodation_type_image/image/15942/gallery_Alquiler_Apartamentos_Madrid_Mad4rent_19.jpg,215000,4,Venta,90,Madrid,Calle de Lagasca 528,Departamento en Madrid
636eb31ee96dfff2f7ab99bb,35,Londres,Reino Unido,Palacio de los Monarcas britanicos,https://ezgpf7f5ty2.exactdn.com/wp-content/uploads/2008/10/interior-del-palacio.jpg?strip=all&lossy=1&resize=450%2C360&ssl=1,500000,50,alquiler,77000,Londres,Londres SW1A 1AA,Buckingham Palace
636eb31ee96dfff2f7ab99bc,10,San Antonio de Areco​,Argentina,"Excelente ubicacion a unos 100 km de CABA, ideal para relajerse y pasar tiempo en familia",https://www.estanciaelombu.com/wp-content/uploads/2020/10/estancia-el-ombu-slide-1.jpg,10000,25,alquiler,10000,Buenos Aires,S/N,Estancia - Los Algarrobos
636eb31ee96dfff2f7ab99bd,8,Luján,Argentina,"Excelente ubicacion a unos 75 km de CABA, ideal para relajerse y pasar tiempo en familia",https://www.clarin.com/img/2020/01/21/FqLwENjR_360x240__1.jpg,8500,20,alquiler,9500,Buenos Aires,S/N,Estancia - Santa Rita
636eb31ee96dfff2f7ab99be,2,Jesus Maria,Argentina,"Campo, que se puede usar para fines productivos y para descansa alejado de la gran ciudad",https://http2.mlstatic.com/D_NQ_NP_995739-MLC49078722822_022022-O.webp,178000,6,Venta,7000,Cordoba,S/N,Campo en Jesus Maria
